starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:23:42 2023	1701915822	521	137	658	136
Wed Dec 06 18:26:34 2023	1701915994	126	532	658	85
Wed Dec 06 18:23:42 2023	1701915822	521	137	658	136
Wed Dec 06 18:20:59 2023	1701915659	509	149	658	144
Wed Dec 06 18:20:15 2023	1701915615	240	418	658	299
Wed Dec 06 18:21:50 2023	1701915710	433	225	658	46
Wed Dec 06 18:24:24 2023	1701915864	47	611	658	499
Wed Dec 06 18:27:33 2023	1701916053	16	642	658	313
Wed Dec 06 18:22:13 2023	1701915733	205	453	658	449
Wed Dec 06 18:22:13 2023	1701915733	205	453	658	449
Wed Dec 06 18:26:42 2023	1701916002	37	621	658	490
Wed Dec 06 18:21:50 2023	1701915710	433	225	658	44
Wed Dec 06 18:26:42 2023	1701916002	37	621	659	490
Wed Dec 06 18:27:26 2023	1701916046	330	329	659	178
Wed Dec 06 18:24:00 2023	1701915840	394	265	659	254
Wed Dec 06 18:20:49 2023	1701915649	124	535	659	427
Wed Dec 06 18:20:49 2023	1701915649	124	535	659	427
Wed Dec 06 18:27:11 2023	1701916031	258	401	659	401
Wed Dec 06 18:22:59 2023	1701915779	17	642	659	414
Wed Dec 06 18:24:24 2023	1701915864	48	611	659	501
Wed Dec 06 18:24:24 2023	1701915864	48	611	659	501
Wed Dec 06 18:20:59 2023	1701915659	514	146	660	144
Wed Dec 06 18:27:33 2023	1701916053	16	644	660	535
Wed Dec 06 18:20:27 2023	1701915627	41	619	660	492
Wed Dec 06 18:24:00 2023	1701915840	394	267	661	254
Wed Dec 06 18:20:15 2023	1701915615	243	418	661	299
Wed Dec 06 18:24:58 2023	1701915898	8	653	661	601
Wed Dec 06 18:24:58 2023	1701915898	8	653	661	602
Wed Dec 06 18:24:45 2023	1701915885	167	494	661	261
Wed Dec 06 18:27:26 2023	1701916046	332	329	661	178
Wed Dec 06 18:23:37 2023	1701915817	599	62	661	61
Wed Dec 06 18:23:37 2023	1701915817	599	62	661	61
Wed Dec 06 18:23:34 2023	1701915814	143	518	661	265
Wed Dec 06 18:24:45 2023	1701915885	167	494	661	261
Wed Dec 06 18:24:45 2023	1701915885	167	494	661	335
Wed Dec 06 18:24:45 2023	1701915885	167	495	661	492
Wed Dec 06 18:24:24 2023	1701915864	49	613	662	309
Wed Dec 06 18:23:34 2023	1701915814	141	520	662	485
Wed Dec 06 18:23:34 2023	1701915814	141	520	662	484
Wed Dec 06 18:20:49 2023	1701915649	124	538	662	426
Wed Dec 06 18:24:45 2023	1701915885	167	494	662	335
Wed Dec 06 18:20:27 2023	1701915627	42	619	662	492
Wed Dec 06 18:24:45 2023	1701915885	167	495	662	335
