starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:31:27 2023	1701916287	40	25	65	23
Wed Dec 06 18:30:57 2023	1701916257	18	47	65	16
Wed Dec 06 18:31:31 2023	1701916291	25	40	65	38
Wed Dec 06 18:31:08 2023	1701916268	10	55	65	23
Wed Dec 06 18:31:28 2023	1701916288	43	21	65	19
Wed Dec 06 18:31:33 2023	1701916293	36	29	65	28
Wed Dec 06 18:30:58 2023	1701916258	38	27	65	26
Wed Dec 06 18:30:58 2023	1701916258	38	27	65	26
Wed Dec 06 18:30:48 2023	1701916248	28	37	65	36
Wed Dec 06 18:31:28 2023	1701916288	19	46	65	43
Wed Dec 06 18:30:48 2023	1701916248	27	38	65	21
Wed Dec 06 18:31:23 2023	1701916283	24	41	65	16
Wed Dec 06 18:31:28 2023	1701916288	19	46	65	43
Wed Dec 06 18:30:57 2023	1701916257	33	32	65	31
Wed Dec 06 18:31:18 2023	1701916278	26	39	65	39
Wed Dec 06 18:30:48 2023	1701916248	28	37	65	36
Wed Dec 06 18:31:38 2023	1701916298	19	46	65	19
Wed Dec 06 18:31:30 2023	1701916290	38	27	65	27
Wed Dec 06 18:31:18 2023	1701916278	27	39	65	39
Wed Dec 06 18:30:58 2023	1701916258	34	31	65	16
Wed Dec 06 18:31:28 2023	1701916288	44	21	65	14
Wed Dec 06 18:30:58 2023	1701916258	34	31	65	29
Wed Dec 06 18:31:08 2023	1701916268	32	34	65	22
Wed Dec 06 18:31:46 2023	1701916306	28	37	65	24
Wed Dec 06 18:31:28 2023	1701916288	44	22	65	20
Wed Dec 06 18:31:32 2023	1701916292	36	29	65	19
Wed Dec 06 18:31:43 2023	1701916303	30	35	65	33
Wed Dec 06 18:31:28 2023	1701916288	17	48	65	47
Wed Dec 06 18:31:07 2023	1701916267	43	23	65	23
Wed Dec 06 18:31:28 2023	1701916288	17	48	65	46
Wed Dec 06 18:31:19 2023	1701916279	39	27	65	25
Wed Dec 06 18:31:32 2023	1701916292	41	25	65	13
Wed Dec 06 18:31:06 2023	1701916266	25	40	65	16
Wed Dec 06 18:31:43 2023	1701916303	30	36	65	34
Wed Dec 06 18:31:28 2023	1701916288	44	21	66	13
Wed Dec 06 18:31:31 2023	1701916291	25	41	66	41
Wed Dec 06 18:31:06 2023	1701916266	25	41	66	16
Wed Dec 06 18:31:07 2023	1701916267	43	23	66	14
Wed Dec 06 18:31:27 2023	1701916287	37	28	66	15
Wed Dec 06 18:31:27 2023	1701916287	20	45	66	44
Wed Dec 06 18:31:10 2023	1701916270	47	19	66	15
Wed Dec 06 18:31:06 2023	1701916266	25	41	66	16
Wed Dec 06 18:30:58 2023	1701916258	39	27	66	27
Wed Dec 06 18:30:58 2023	1701916258	39	27	66	24
Wed Dec 06 18:30:56 2023	1701916256	36	30	66	30
Wed Dec 06 18:30:48 2023	1701916248	26	39	66	25
Wed Dec 06 18:30:54 2023	1701916254	36	30	66	21
Wed Dec 06 18:31:38 2023	1701916298	40	26	66	16
Wed Dec 06 18:31:12 2023	1701916272	21	45	66	19
Wed Dec 06 18:30:54 2023	1701916254	36	30	66	18
Wed Dec 06 18:31:27 2023	1701916287	13	53	66	47
Wed Dec 06 18:30:47 2023	1701916247	32	33	66	30
Wed Dec 06 18:31:38 2023	1701916298	40	26	66	16
Wed Dec 06 18:31:06 2023	1701916266	27	39	66	26
